Run started: 2026-03-01T21:49:24
Total params: 4,165,985 (15.89 MB)
Trainable params: 4,165,985 (15.89 MB)
Non-trainable params: 0 (0.00 B)
--------------------------------------------------------------------------------
Training setup | epochs=15 | optimizer=AdamW(lr=3e-4, weight_decay=1e-5)
step=26400 train_batch_loss=0.2086
step=26500 train_batch_loss=0.2226
step=26600 train_batch_loss=0.2092
step=26700 train_batch_loss=0.1894
step=26800 train_batch_loss=0.3965
step=26900 train_batch_loss=0.3752
step=27000 train_batch_loss=0.2876
step=27100 train_batch_loss=0.2715
step=27200 train_batch_loss=0.2123
step=27300 train_batch_loss=0.3430
step=27400 train_batch_loss=0.2327
step=27500 train_batch_loss=0.3201
step=27600 train_batch_loss=0.1883
step=27700 train_batch_loss=0.1989
step=27800 train_batch_loss=0.2738
step=27900 train_batch_loss=0.2368
step=28000 train_batch_loss=0.0806
step=28100 train_batch_loss=0.2377
step=28200 train_batch_loss=0.4909
step=28300 train_batch_loss=0.3073
step=28400 train_batch_loss=0.2776
step=28500 train_batch_loss=0.2523
step=28600 train_batch_loss=0.3622
step=28700 train_batch_loss=0.2399
step=28800 train_batch_loss=0.1416
step=28900 train_batch_loss=0.2607
step=29000 train_batch_loss=0.3002
step=29100 train_batch_loss=0.1784
step=29200 train_batch_loss=0.1968
step=29300 train_batch_loss=0.4021
step=29400 train_batch_loss=0.4789
step=29500 train_batch_loss=0.4103
step=29600 train_batch_loss=0.3537
step=29700 train_batch_loss=0.2601
step=29800 train_batch_loss=0.4489
step=29900 train_batch_loss=0.3365
step=30000 train_batch_loss=0.4084
step=30100 train_batch_loss=0.2852
step=30200 train_batch_loss=0.2906
step=30300 train_batch_loss=0.2783
step=30400 train_batch_loss=0.1540
step=30500 train_batch_loss=0.2638
step=30600 train_batch_loss=0.2439
step=30700 train_batch_loss=0.2898
step=30800 train_batch_loss=0.1706
step=30900 train_batch_loss=0.3685
step=31000 train_batch_loss=0.2989
step=31100 train_batch_loss=0.1463
step=31200 train_batch_loss=0.4171
step=31300 train_batch_loss=0.3621
step=31400 train_batch_loss=0.2893
step=31500 train_batch_loss=0.3185
step=31600 train_batch_loss=0.2224
step=31700 train_batch_loss=0.1663
step=31800 train_batch_loss=0.2993
step=31900 train_batch_loss=0.2181
step=32000 train_batch_loss=0.2872
step=32100 train_batch_loss=0.3027
step=32200 train_batch_loss=0.3190
step=32300 train_batch_loss=0.1682
step=32400 train_batch_loss=0.4077
step=32500 train_batch_loss=0.3873
step=32600 train_batch_loss=0.2312
step=32700 train_batch_loss=0.1629
step=32800 train_batch_loss=0.2722
step=32900 train_batch_loss=0.1789
step=33000 train_batch_loss=0.3395
step=33100 train_batch_loss=0.2549
step=33200 train_batch_loss=0.1959
